     TSINCE (MIN)         LAT(DEG)        LON (DEG)          HT (KM)           X (KM)           Y (KM)           Z (KM)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322637.3371675       63.8289461      130.2752275      493.9289168    -3036.1798763     -120.1427995     6144.6207155
    322637.3538341       63.8896910      130.2292182      493.9496693    -3029.7318264     -117.6722626     6147.8534481
    322637.3705008       63.9504230      130.1830280      493.9704028    -3023.2800430     -115.2015806     6151.0785837
    322637.3871675       64.0111421      130.1366558      493.9911172    -3016.8245343     -112.7307567     6154.2961181
    322637.4038341       64.0718481      130.0901001      494.0118124    -3010.3653060     -110.2597932     6157.5060485
    322637.4205008       64.1325409      130.0433598      494.0324883    -3003.9023703     -107.7886945     6160.7083691
    322637.4371675       64.1932205      129.9964337      494.0531448    -2997.4357331     -105.3174631     6163.9030768
    322637.4538341       64.2538868      129.9493204      494.0737820    -2990.9654024     -102.8461020     6167.0901678
    322637.4705008       64.3145397      129.9020187      494.0943996    -2984.4913842     -100.3746133     6170.2696392
    322637.4871675       64.3751792      129.8545272      494.1149976    -2978.0136906      -97.9030017     6173.4414852
    322637.5038341       64.4358050      129.8068447      494.1355759    -2971.5323275      -95.4312696     6176.6057028
    322637.5205008       64.4964172      129.7589697      494.1561345    -2965.0473029      -92.9594198     6179.7622883
    322637.5371675       64.5570156      129.7109011      494.1766733    -2958.5586228      -90.4874548     6182.9112387
    322637.5538341       64.6176002      129.6626374      494.1971921    -2952.0662994      -88.0153791     6186.0525482
    322637.5705008       64.6781708      129.6141772      494.2176909    -2945.5703385      -85.5431949     6189.1862141
    322637.5871675       64.7387274      129.5655193      494.2381697    -2939.0707482      -83.0709054     6192.3122324
    322637.6038341       64.7992699      129.5166622      494.2586283    -2932.5675346      -80.5985127     6195.4306004
    322637.6205008       64.8597981      129.4676045      494.2790667    -2926.0607097      -78.1260216     6198.5413123
    322637.6371675       64.9203120      129.4183448      494.2994847    -2919.5502796      -75.6534342     6201.6443653
    322637.6538341       64.9808115      129.3688816      494.3198824    -2913.0362523      -73.1807536     6204.7397555
    322637.6705008       65.0412965      129.3192137      494.3402596    -2906.5186338      -70.7079821     6207.8274803
    322637.6871675       65.1017668      129.2693394      494.3606162    -2899.9974362      -68.2351242     6210.9075339
    322637.7038341       65.1622225      129.2192574      494.3809522    -2893.4726655      -65.7621823     6213.9799136
    322637.7205008       65.2226633      129.1689661      494.4012675    -2886.9443299      -63.2891594     6217.0446155
    322637.7371675       65.2830892      129.1184641      494.4215620    -2880.4124353      -60.8160578     6220.1016369
    322637.7538341       65.3435000      129.0677499      494.4418356    -2873.8769940      -58.3428821     6223.1509722
    322637.7705008       65.4038958      129.0168220      494.4620883    -2867.3380118      -55.8696344     6226.1926186
    322637.7871675       65.4642763      128.9656788      494.4823199    -2860.7954970      -53.3963180     6229.2265724
    322637.8038341       65.5246414      128.9143188      494.5025305    -2854.2494556      -50.9229350     6232.2528309
    322637.8205008       65.5849911      128.8627404      494.5227198    -2847.6998997      -48.4494901     6235.2713885
    322637.8371675       65.6453253      128.8109420      494.5428880    -2841.1468354      -45.9759855     6238.2822424
