     TSINCE (MIN)           X (KM)           Y (KM)           Z (KM)      XDOT (KM/S)       YDOT(KM/S)    ZDOT (KM/SEC)


 b'1 52191U 22033AL  22256.49821493 +.00010438  00000 0  45470-3 0 0999'
 b'2 52191  97.3911 336.4109 0011709  47.9955 312.2276 15.2232817402506'

 26554.49821493

 26554.49821493
    322638.0538341    -2755.6414159      -13.8163794     6276.7206605        6.5995643        2.4739833        2.9064709
    322638.0705008    -2749.0400861      -11.3423595     6279.6232828        6.6029548        2.4739988        2.8987151
    322638.0871675    -2742.4353697       -8.8683256     6282.5181475        6.6063372        2.4740113        2.8909558
    322638.1038341    -2735.8272749       -6.3942808     6285.4052510        6.6097115        2.4740207        2.8831930
    322638.1205008    -2729.2158079       -3.9202273     6288.2845908        6.6130775        2.4740270        2.8754266
    322638.1371675    -2722.6009810       -1.4461698     6291.1561615        6.6164354        2.4740303        2.8676568
    322638.1538341    -2715.9828002        1.0278894     6294.0199605        6.6197852        2.4740305        2.8598835
    322638.1705008    -2709.3612738        3.5019473     6296.8759844        6.6231267        2.4740277        2.8521067
    322638.1871675    -2702.7364078        5.9760017     6299.7242305        6.6264601        2.4740219        2.8443264
    322638.2038341    -2696.1082145        8.4500480     6302.5646937        6.6297853        2.4740130        2.8365427
    322638.2205008    -2689.4767002       10.9240838     6305.3973713        6.6331023        2.4740011        2.8287555
    322638.2371675    -2682.8418729       13.3981061     6308.2222599        6.6364111        2.4739861        2.8209648
    322638.2538341    -2676.2037388       15.8721127     6311.0393570        6.6397117        2.4739680        2.8131708
    322638.2705008    -2669.5623103       18.3460989     6313.8486574        6.6430041        2.4739469        2.8053733
    322638.2871675    -2662.9175935       20.8200625     6316.6501585        6.6462883        2.4739228        2.7975724
    322638.3038341    -2656.2695965       23.2940005     6319.4438569        6.6495643        2.4738956        2.7897681
    322638.3205008    -2649.6183255       25.7679105     6322.2297501        6.6528320        2.4738654        2.7819604
    322638.3371675    -2642.9637929       28.2417880     6325.0078330        6.6560916        2.4738321        2.7741494
    322638.3538341    -2636.3060049       30.7156306     6327.7781030        6.6593429        2.4737958        2.7663349
    322638.3705008    -2629.6449696       33.1894355     6330.5405569        6.6625860        2.4737565        2.7585171
    322638.3871675    -2622.9806931       35.6632002     6333.2951920        6.6658209        2.4737140        2.7506960
    322638.4038341    -2616.3131880       38.1369201     6336.0420034        6.6690476        2.4736686        2.7428714
    322638.4205008    -2609.6424603       40.6105931     6338.7809885        6.6722660        2.4736201        2.7350436
    322638.4371675    -2602.9685183       43.0842160     6341.5121440        6.6754761        2.4735685        2.7272124
    322638.4538341    -2596.2913682       45.5577867     6344.2354674        6.6786781        2.4735139        2.7193780
    322638.4705008    -2589.6110222       48.0313004     6346.9509538        6.6818718        2.4734563        2.7115402
    322638.4871675    -2582.9274868       50.5047549     6349.6586007        6.6850572        2.4733956        2.7036991
    322638.5038341    -2576.2407678       52.9781480     6352.3584056        6.6882344        2.4733318        2.6958547
    322638.5205008    -2569.5508779       55.4514750     6355.0503636        6.6914033        2.4732651        2.6880071
    322638.5371675    -2562.8578232       57.9247337     6357.7344722        6.6945639        2.4731952        2.6801562
    322638.5538341    -2556.1616120       60.3979211     6360.4107281        6.6977163        2.4731224        2.6723020
    322638.5705008    -2549.4622503       62.8710348     6363.0791291        6.7008604        2.4730464        2.6644446
    322638.5871675    -2542.7597508       65.3440703     6365.7396700        6.7039963        2.4729675        2.6565839
    322638.6038341    -2536.0541195       67.8170253     6368.3923487        6.7071238        2.4728855        2.6487200
    322638.6205008    -2529.3453648       70.2898967     6371.0371617        6.7102431        2.4728004        2.6408529
    322638.6371675    -2522.6334929       72.7626824     6373.6741068        6.7133541        2.4727123        2.6329826
    322638.6538341    -2515.9185161       75.2353776     6376.3031790        6.7164568        2.4726212        2.6251091
    322638.6705008    -2509.2004407       77.7079802     6378.9243761        6.7195512        2.4725270        2.6172324
    322638.6871675    -2502.4792751       80.1804870     6381.5376948        6.7226374        2.4724297        2.6093525
    322638.7038341    -2495.7550254       82.6528958     6384.1431328        6.7257152        2.4723294        2.6014695
    322638.7205008    -2489.0277040       85.1252020     6386.7406852        6.7287847        2.4722261        2.5935833
    322638.7371675    -2482.2973173       87.5974034     6389.3303498        6.7318459        2.4721198        2.5856939
    322638.7538341    -2475.5638736       90.0694969     6391.9121233        6.7348988        2.4720103        2.5778014
    322638.7705008    -2468.8273789       92.5414802     6394.4860035        6.7379434        2.4718979        2.5699058
    322638.7871675    -2462.0878459       95.0133487     6397.0519856        6.7409796        2.4717824        2.5620070
    322638.8038341    -2455.3452808       97.4851002     6399.6100673        6.7440076        2.4716638        2.5541051
